AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
33.0;1.0;SP;16.0;1.0;1.0;4500.0;2.0;1.0;7.0;4.0;6.0;4.0;4.0;5.0;1.0;7.0;7.0;7.0;2.0;2.0;4.0;1.0;2.0;5.0;5.0;2.0;5.0;1.0;5.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;99.0;3;7.0;6.0;0.5
62.0;0.0;RJ;18.0;0.0;1.0;41250.0;3.0;2.0;7.0;7.0;7.0;7.0;2.0;7.0;1.0;7.0;7.0;7.0;5.0;1.0;1.0;5.0;1.0;1.0;5.0;4.0;5.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;107.0;3;7.0;7.0;0.3333333333333333
42.0;1.0;PE;22.0;1.0;1.0;6500.0;1.0;0.0;5.0;3.0;5.0;6.0;5.0;2.0;3.0;7.0;5.0;2.0;4.0;5.0;5.0;4.0;3.0;5.0;2.0;3.0;5.0;2.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;91.5;3;7.0;5.0;1.0
25.0;0.0;PE;16.0;1.0;1.0;2500.0;2.0;2.0;7.0;1.0;4.0;0.0;0.0;7.0;1.0;7.0;7.0;7.0;2.0;1.0;3.0;2.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;89.0;3;7.0;7.0;0.0
31.0;1.0;PE;18.0;0.0;1.0;8000.0;2.0;2.0;6.0;7.0;4.0;7.0;3.0;6.0;5.0;2.0;5.0;1.0;2.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;75.0;3;7.0;7.0;0.0
63.0;0.0;RJ;16.0;0.0;1.0;27500.0;3.0;1.0;7.0;6.0;7.0;7.0;3.0;5.0;5.0;5.0;6.0;5.0;2.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;98.5;3;7.0;7.0;0.6666666666666666
60.0;0.0;RJ;18.0;0.0;1.0;41250.0;3.0;2.0;7.0;0.0;3.0;5.0;7.0;4.0;2.0;7.0;7.0;1.0;5.0;1.0;1.0;5.0;2.0;1.0;5.0;5.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;91.0;3;7.0;6.0;0.3333333333333333
21.0;1.0;BA;12.0;0.0;1.0;1500.0;2.0;2.0;7.0;7.0;7.0;3.0;7.0;7.0;7.0;7.0;7.0;2.0;5.0;3.0;1.0;5.0;1.0;1.0;5.0;3.0;5.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;105.5;3;7.0;7.0;0.0
21.0;0.0;PE;14.0;1.0;1.0;13500.0;4.0;3.0;6.0;3.0;6.0;2.0;4.0;7.0;5.0;6.0;4.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;94.0;3;7.0;7.0;0.25
27.0;1.0;PE;18.0;1.0;1.0;4500.0;4.0;4.0;7.0;2.0;6.0;3.0;4.0;7.0;1.0;5.0;6.0;7.0;2.0;2.0;5.0;3.0;3.0;4.0;4.0;3.0;4.0;2.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;93.5;3;7.0;7.0;0.0
